,Rating,Company Name,Headquarters,Size,Founded,Type of ownership,Sector,Revenue,Location_State,Cleaned Job Title,Predicted Min Salary,Predicted Max Salary,Predicted Avg Salary
41,4.6,Greenwich Biosciences,CA,201 to 500 employees,2013.0,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Unknown / Non-Applicable,CA,Other Scientist,121.89137,107.08271,117.670555
42,3.770932754880694,Decode_M,NY,1 to 50 employees,1996.0,Unknown,Unknown,Unknown / Non-Applicable,NY,Manager/Director,138.6968,111.06664,124.53225
43,4.5,GSN Games,MA,201 to 500 employees,1999.0,Company - Private,Media,Unknown / Non-Applicable,CA,Data Scientist,137.083,112.29722,122.86277
44,4.1,Redstream Technology,NY,1 to 50 employees,2007.0,Company - Private,Information Technology,$5 to $10 million (USD),GA,Data Engineer,125.55986,107.162056,122.232124
45,4.2,The Church of Jesus Christ of Latter-day Saints,UT,10000+ employees,1996.0,Nonprofit Organization,Non-Profit,Unknown / Non-Applicable,UT,Data Engineer,138.6968,111.06664,124.53225
46,3.9,Mars,VA,10000+ employees,1911.0,Company - Private,Manufacturing,$10+ billion (USD),Oregon,Data Scientist,140.26283,110.701256,124.09292
47,4.3,Daugherty Business Solutions,MO,1001 to 5000 employees,1985.0,Company - Private,Information Technology,$100 to $500 million (USD),GA,Other Analyst,137.083,111.06664,124.53225
48,4.4,"Volume Integration, LLC",VA,51 to 200 employees,2013.0,Company - Private,Aerospace & Defense,$10 to $25 million (USD),VA,Data Scientist,124.58244,107.08271,117.670555
49,4.1,ManTech,VA,5001 to 10000 employees,1968.0,Company - Public,Business Services,$1 to $2 billion (USD),VA,Data Scientist,140.54173,111.06664,124.53225
50,4.6,Blend360,NJ,51 to 200 employees,2002.0,Company - Private,Business Services,Unknown / Non-Applicable,MD,Intern/Junior,133.63074,113.147316,124.35163
51,3.5,CACI International,VA,10000+ employees,1962.0,Company - Public,Aerospace & Defense,$2 to $5 billion (USD),CO,Data Scientist,134.06828,112.6495,129.51312
52,2.4,Calista,AK,1001 to 5000 employees,1996.0,Other Organization,Unknown,$100 to $500 million (USD),AK,Other Scientist,135.12361,113.81786,123.020515
53,2.5,Sandhills Global,NE,1001 to 5000 employees,1978.0,Company - Private,Information Technology,$50 to $100 million (USD),NE,Other Analyst,135.12361,113.81786,123.020515
54,3.8,Hire Resolve,AZ,1 to 50 employees,1996.0,Company - Private,Business Services,$500 million to $1 billion (USD),GA,Other Scientist,138.6968,111.06664,124.53225
55,5.0,Genesis Research,NJ,1 to 50 employees,2009.0,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable,NJ,Other Scientist,121.89137,107.08271,117.670555
56,5.0,Hamilton Porter LLC,CA,1 to 50 employees,2019.0,Company - Public,Business Services,Unknown / Non-Applicable,NJ,Data Scientist,121.89137,107.08271,117.670555
57,5.0,Alector,CA,51 to 200 employees,2013.0,Company - Public,Biotech & Pharmaceuticals,Unknown / Non-Applicable,CA,Manager/Director,121.89137,107.08271,117.670555
58,4.3,Service Express,MI,201 to 500 employees,1993.0,Company - Private,Information Technology,$100 to $500 million (USD),MI,Other Analyst,137.083,111.06664,124.53225
59,4.5,Rose International,MO,501 to 1000 employees,1993.0,Company - Private,Business Services,$100 to $500 million (USD),MO,Data Scientist,137.083,112.29722,122.86277
60,4.2,Clarity Insights,IL,201 to 500 employees,2008.0,Company - Private,Information Technology,Unknown / Non-Applicable,United States,Data Scientist,125.55986,107.162056,122.232124
61,5.0,605,NY,51 to 200 employees,2016.0,Company - Private,Information Technology,Unknown / Non-Applicable,NY,Data Scientist,121.89137,107.08271,117.670555
62,4.3,Daugherty Business Solutions,MO,1001 to 5000 employees,1985.0,Company - Private,Information Technology,$100 to $500 million (USD),MN,Other Analyst,137.083,111.06664,124.53225
63,5.0,NS8,NV,51 to 200 employees,2016.0,Company - Private,Information Technology,$25 to $50 million (USD),CA,Data Scientist,121.89137,107.08271,117.670555
64,4.6,"SmartNews, Inc.",CA,51 to 200 employees,2012.0,Company - Private,Information Technology,Unknown / Non-Applicable,CA,Data Scientist,121.89137,107.08271,117.670555
